"source"	"mor"	"target"	"likelihood"
"1"	"Fcgr4"	1	"Lck_Y394"	1
"2"	"Cnksr1"	1	"Raf1_T269"	1
"3"	"Ttn"	1	"Tcap_S157"	1
"4"	"Cad"	1	"Cad_T1037"	1
"5"	"Map3k19"	1	"Trip10_S296"	1
"6"	"Map3k19"	1	"Trip10_S426"	1
"7"	"Map3k19"	1	"Sufu_S342"	1
"8"	"Map3k19"	1	"Sufu_S346"	1
"9"	"Ptpro"	1	"Epha4_Y602"	1
"10"	"Mknk1"	1	"Pla2g4a_S728"	1
"11"	"Mknk1"	1	"Pla2g4a_S726"	1
"12"	"Mknk1"	1	"Hnrnpa1_S192"	1
"13"	"Mknk1"	1	"Eif4e_S209"	1
"14"	"Mknk1"	1	"Eif4b_T32"	1
"15"	"Mknk1"	1	"Eif4b_S425"	1
"16"	"Mknk1"	1	"Sfpq_S8"	1
"17"	"Mknk1"	1	"Spry2_S114"	1
"18"	"Mknk1"	1	"Spry2_S120"	1
"19"	"Mknk1"	1	"Spry2_S111"	1
"20"	"Map3k4"	1	"Map3k4_T1483"	1
"21"	"Map3k4"	1	"Map3k4_T1494"	1
"22"	"Map3k4"	1	"Mapk10_Y223"	1
"23"	"Map3k4"	1	"Mapk10_T221"	1
"24"	"Map3k4"	1	"Mapk8_T183"	1
"25"	"Map3k4"	1	"Mapk8_Y185"	1
"26"	"Map3k4"	1	"Mapk9_T183"	1
"27"	"Map3k4"	1	"Mapk9_Y185"	1
"28"	"Eef2k"	1	"Eef2k_S444"	1
"29"	"Eef2k"	1	"Eef2k_S397"	1
"30"	"Eef2k"	1	"Eef2k_S366"	1
"31"	"Eef2k"	1	"Eef2k_S476"	1
"32"	"Eef2k"	1	"Pkm_T129"	1
"33"	"Eef2k"	1	"Eef2_T54"	1
"34"	"Eef2k"	1	"Eef2_T57"	1
"35"	"Eef2k"	1	"Eef2_T59"	1
"36"	"Ercc2"	1	"Polr2a_S1882"	1
"37"	"Ercc2"	1	"Polr2a_S1892"	1
"38"	"Ercc2"	1	"Polr2a_S1944"	1
"39"	"Ercc2"	1	"Polr2a_S1766"	1
"40"	"Ercc2"	1	"Polr2a_S1626"	1
"41"	"Ercc2"	1	"Polr2a_S1920"	1
"42"	"Ercc2"	1	"Polr2a_S1787"	1
"43"	"Ercc2"	1	"Polr2a_S1738"	1
"44"	"Ercc2"	1	"Polr2a_S1619"	1
"45"	"Ercc2"	1	"Polr2a_S1871"	1
"46"	"Ercc2"	1	"Polr2a_S1668"	1
"47"	"Ercc2"	1	"Polr2a_S1724"	1
"48"	"Ercc2"	1	"Polr2a_S1647"	1
"49"	"Ercc2"	1	"Polr2a_S1654"	1
"50"	"Ercc2"	1	"Polr2a_S1717"	1
"51"	"Ercc2"	1	"Polr2a_S1951"	1
"52"	"Ercc2"	1	"Polr2a_S1927"	1
"53"	"Ercc2"	1	"Polr2a_S1934"	1
"54"	"Ercc2"	1	"Polr2a_S1913"	1
"55"	"Ercc2"	1	"Polr2a_S1675"	1
"56"	"Ercc2"	1	"Polr2a_S1899"	1
"57"	"Ercc2"	1	"Polr2a_S1864"	1
"58"	"Ercc2"	1	"Polr2a_S1696"	1
"59"	"Ercc2"	1	"Rara_S77"	1
"60"	"Ercc2"	1	"Nr5a1_S203"	1
"61"	"Pkd1"	1	"Prkd1_S206"	1
"62"	"Pkd1"	1	"Prkd1_S744"	1
"63"	"Pkd1"	1	"Prkd1_S912"	1
"64"	"Pkd1"	1	"Pi4kb_S294"	1
"65"	"Pkd1"	1	"Hdac7_S196"	1
"66"	"Pkd1"	1	"Ppp1r14a_T38"	1
"67"	"Bub1"	1	"H2ac4_T121"	1
"68"	"Bub1"	1	"H2ac6_T121"	1
"69"	"Bub1"	1	"H2ac7_T121"	1
"70"	"Bub1"	1	"H2ac8_T121"	1
"71"	"Bub1"	1	"H2ac11_T121"	1
"72"	"Bub1"	1	"H2ac13_T121"	1
"73"	"Bub1"	1	"Hist1h2an_T121"	1
"74"	"Bub1"	1	"Hist1h2ao_T121"	1
"75"	"Bub1"	1	"Hist1h2ap_T121"	1
"76"	"Bub1"	1	"Bub1_S565"	1
